,4EBP1_pS65,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,ER-alpha_pS118,FOXO3a_pS318_S321,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,NF-kB-p65_pS536,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,S6_pS240_S244,STAT3_pY705,Src_pY416,Src_pY527,TAZ_pS89,YAP_pS127,YB-1_PS102,c-JUN_pS73,c-Met_pY1235,c-Raf_pS338,mTOR_pS2448,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363
EGFR_pY992,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7452576,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.69192344,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.75951016,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
ER-alpha_pS118,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.75574595,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7834425,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
FOXO3a_pS318_S321,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6227276,0.6931482,0.6931482,0.6931482,0.6931482
GSK3-alpha-beta_pS21_S9,0.6931482,0.6931482,0.6931482,0.6931482,0.5097846,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.78433424,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
GSK3-alpha-beta_pS9,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.79735297,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.77397746
HER2_pY1248,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7756177,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7641638,0.6931482,0.6931482,0.6931482
JNK_pT183_pT185,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7464116,0.74908984,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
MAPK_pT202_Y204,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.73222375,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
MEK1_pS217_S221,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.65573007,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
NF-kB-p65_pS536,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.77951634,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
PDK1_pS241,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7288076,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
PKC-alpha_pS657,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7176282,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
PRAS40_pT246,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7452691,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7616034,0.6931482,0.6931482,0.7745302
Rb_pS807_S811,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7650204,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.79692775,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
S6_pS235_S236,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7801253,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7851707,4.6417706e-05,0.7935733,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
S6_pS240_S244,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.5537511,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7961178,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
STAT3_pY705,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7481936,0.6931482,0.6931482,0.6931482,0.60403913,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.78579956,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
Src_pY416,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.76215655,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.77594066,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.74999917,0.6931482,0.7428613,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
Src_pY527,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7087246,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
TAZ_pS89,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.74006116,0.6564327,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
YAP_pS127,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7421748,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
YB-1_PS102,0.74304754,0.6931482,0.6931482,0.6931482,0.6931482,0.7519919,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7626888,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.8039436,0.6931482
c-JUN_pS73,0.6931482,0.6931482,0.80362976,0.80480635,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7495832,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
c-Met_pY1235,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.78605896,0.6931482,0.7636941,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
c-Raf_pS338,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.77054566,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
mTOR_pS2448,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
p27_pT157,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7023214,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482
p27_pT198,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7471288,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7561091,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482
p38_pT180_Y182,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482
p70S6K_pT389,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.76292175,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.7729478
p90RSK_pT359_S363,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7813442,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7695375,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.8019055,4.6417706e-05
