,4EBP1_pS65,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,ER-alpha_pS118,FOXO3a_pS318_S321,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,NF-kB-p65_pS536,PDK1_pS241,PKC-alpha_pS657,PRAS40_pT246,Rb_pS807_S811,S6_pS235_S236,S6_pS240_S244,STAT3_pY705,Src_pY416,Src_pY527,TAZ_pS89,YAP_pS127,YB-1_PS102,c-JUN_pS73,c-Met_pY1235,c-Raf_pS338,mTOR_pS2448,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363
EGFR_pY992,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7924718,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7351907,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.70246416,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
ER-alpha_pS118,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.76232725,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.78794724,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
FOXO3a_pS318_S321,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.8937934,0.6931482,0.6931482,0.6931482,0.6931482
GSK3-alpha-beta_pS21_S9,0.6931482,0.6931482,0.6931482,0.6931482,1.0593964,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7137713,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
GSK3-alpha-beta_pS9,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.71598345,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.70930123
HER2_pY1248,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7413913,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7529329,0.6931482,0.6931482,0.6931482
JNK_pT183_pT185,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6996949,0.8013091,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
MAPK_pT202_Y204,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.79399204,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
MEK1_pS217_S221,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.9177429,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
NF-kB-p65_pS536,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.73243135,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
PDK1_pS241,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.85726756,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
PKC-alpha_pS657,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.83461684,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
PRAS40_pT246,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.80087864,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7643515,0.6931482,0.6931482,0.7289648
Rb_pS807_S811,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7117697,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.71440476,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
S6_pS235_S236,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.72783136,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7147054,4.6417706e-05,0.720862,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
S6_pS240_S244,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,1.0388012,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7111944,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
STAT3_pY705,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.71445614,0.6931482,0.6931482,0.6931482,1.0664777,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.7572332,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
Src_pY416,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7013799,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.71087784,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.7986964,0.6931482,0.7078592,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
Src_pY527,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.88900805,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
TAZ_pS89,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.7387928,0.69901484,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
YAP_pS127,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7264906,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
YB-1_PS102,0.7041866,0.6931482,0.6931482,0.6931482,0.6931482,0.7104436,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.8249001,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7453403,0.6931482
c-JUN_pS73,0.6931482,0.6931482,0.75901353,0.7574188,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.72380173,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
c-Met_pY1235,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.76860505,0.6931482,0.76237863,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
c-Raf_pS338,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.717922,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
mTOR_pS2448,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482
p27_pT157,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.69782305,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482,0.6931482
p27_pT198,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7089516,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.766444,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482,0.6931482
p38_pT180_Y182,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.6931482,0.6931482
p70S6K_pT389,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7311845,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,4.6417706e-05,0.70557237
p90RSK_pT359_S363,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7346845,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.71469355,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.6931482,0.7396268,4.6417706e-05
