source,target,gate,beta,K,n,sign
c-Met_pY1235,TAZ_pS89,1.0,0.08365292847156525,0.7636941075325012,0.7623786330223083,inhibition
PRAS40_pT246,p27_pT198,1.0,0.08352340757846832,0.7616034150123596,0.764351487159729,inhibition
c-Raf_pS338,TAZ_pS89,1.0,0.08339223265647888,0.7705456614494324,0.7179219722747803,inhibition
HER2_pY1248,p27_pT198,1.0,0.08336489647626877,0.7641637921333313,0.7529329061508179,inhibition
CHK1_pS345,ER-alpha_pS118,1.0,0.07967093586921692,0.7457556128501892,0.8044054508209229,inhibition
Src_pY416,ER-alpha_pS118,1.0,0.0788138136267662,0.7621565461158752,0.7013798952102661,inhibition
AMPK_pT172,GSK3-alpha-beta_pS21_S9,1.0,0.07860931754112244,0.7659885883331299,0.739391565322876,inhibition
Rb_pS807_S811,GSK3-alpha-beta_pS21_S9,1.0,0.07847858220338821,0.7650203704833984,0.711769700050354,inhibition
p27_pT198,PRAS40_pT246,1.0,0.07708883285522461,0.7561091184616089,0.7664440274238586,inhibition
CHK1_pS345,PRAS40_pT246,1.0,0.0768883153796196,0.7642931938171387,0.7302237749099731,inhibition
p90RSK_pT359_S363,PRAS40_pT246,1.0,0.07672220468521118,0.7695375084877014,0.714693546295166,inhibition
Src_pY416,YB-1_PS102,1.0,0.07375708967447281,0.7499991655349731,0.7986963987350464,inhibition
4EBP1_pS65,YB-1_PS102,1.0,0.07342661917209625,0.7528490424156189,0.7610231637954712,inhibition
BAD_pS112,YB-1_PS102,1.0,0.073310986161232,0.7583914995193481,0.7372373342514038,inhibition
p70S6K_pT389,YB-1_PS102,1.0,0.07325510680675507,0.7629217505455017,0.7311844825744629,activation
PRAS40_pT246,CHK1_pS345,1.0,0.07152454555034637,0.7452691197395325,0.800878643989563,inhibition
EGFR_pY992,CHK1_pS345,1.0,0.07148490846157074,0.7452576160430908,0.7924718260765076,inhibition
JNK_pT183_pT185,CHK1_pS345,1.0,0.07140189409255981,0.7490898370742798,0.8013091087341309,inhibition
ER-alpha_pS118,CHK1_pS345,1.0,0.07115525752305984,0.7557459473609924,0.762327253818512,inhibition
STAT3_pY705,HER2_pY1248,1.0,0.06592429429292679,0.748193621635437,0.7144561409950256,inhibition
p27_pT198,HER2_pY1248,1.0,0.06591694802045822,0.7471287846565247,0.7089515924453735,inhibition
AKT_pT308,c-JUN_pS73,1.0,0.0658317357301712,0.7450449466705322,0.8183850049972534,activation
AKT_pS473,c-JUN_pS73,1.0,0.06582529097795486,0.7450224757194519,0.8175515532493591,activation
EGFR_pY992,c-JUN_pS73,1.0,0.06502819806337357,0.7595101594924927,0.7024641633033752,activation
4EBP1_pS65,BAD_pS112,1.0,0.0604071319103241,0.7385613322257996,0.7527589201927185,inhibition
TAZ_pS89,c-Met_pY1235,1.0,0.06022380292415619,0.7400611639022827,0.7387927770614624,inhibition
JNK_pT183_pT185,BAD_pS112,1.0,0.06015283614397049,0.7464116215705872,0.6996948719024658,activation
YB-1_PS102,BAD_pS112,1.0,0.060135580599308014,0.7519919276237488,0.7104436159133911,activation
Src_pY416,c-Met_pY1235,1.0,0.060077790170907974,0.742861270904541,0.707859218120575,inhibition
PDK1_pS241,EGFR_pY992,1.0,0.05979070067405701,0.7288076281547546,0.8572675585746765,inhibition
c-JUN_pS73,EGFR_pY992,1.0,0.05952418968081474,0.7495831847190857,0.7238017320632935,activation
CHK1_pS345,EGFR_pY992,1.0,0.059338562190532684,0.7520629167556763,0.6989729404449463,inhibition
CHK1_pS345,JNK_pT183_pT185,1.0,0.05737531557679176,0.7211738228797913,0.8061515688896179,inhibition
BAD_pS112,JNK_pT183_pT185,1.0,0.05699382722377777,0.7371194362640381,0.7604549527168274,inhibition
BAD_pS112,4EBP1_pS65,1.0,0.052985746413469315,0.7379330396652222,0.7146475315093994,inhibition
YB-1_PS102,4EBP1_pS65,1.0,0.052879635244607925,0.7430475354194641,0.7041866183280945,activation
PKC-alpha_pS657,Src_pY527,1.0,0.03518252447247505,0.7176281809806824,0.8346168398857117,inhibition
Src_pY527,PKC-alpha_pS657,1.0,0.03125026449561119,0.7087246179580688,0.8890080451965332,inhibition
CHK2_pT68,YAP_pS127,1.0,0.0298763457685709,0.7100748419761658,0.700840175151825,inhibition
EGFR_pY992,PDK1_pS241,1.0,0.02788958139717579,0.6919234395027161,0.7351906895637512,activation
GSK3-alpha-beta_pS21_S9,AMPK_pT172,1.0,0.024028046056628227,0.5097845792770386,1.0593963861465454,activation
ACC_pS79,AMPK_pT172,1.0,0.023272059857845306,0.5052621364593506,1.0858577489852905,activation
MAPK_pT202_Y204,MEK1_pS217_S221,1.0,0.02221478335559368,0.7322237491607666,0.7939920425415039,inhibition
FOXO3a_pS318_S321,p27_pT157,1.0,-0.009775512851774693,0.6227275729179382,0.8937934041023254,inhibition
p27_pT157,FOXO3a_pS318_S321,1.0,-0.02253907546401024,0.7023214101791382,0.6978230476379395,activation
STAT3_pY705,NF-kB-p65_pS536,1.0,-0.025243809446692467,0.6040391325950623,1.066477656364441,activation
MEK1_pS217_S221,MAPK_pT202_Y204,1.0,-0.02666417323052883,0.6557300686836243,0.917742908000946,inhibition
AMPK_pT172,ACC_pS79,1.0,-0.03789036348462105,0.6992405652999878,0.7638776302337646,activation
TAZ_pS89,c-Raf_pS338,1.0,-0.053357403725385666,0.6564326882362366,0.6990148425102234,activation
S6_pS240_S244,EGFR_pY1173,1.0,-0.06280159950256348,0.5537511110305786,1.0388011932373047,inhibition
YAP_pS127,CHK2_pT68,1.0,-0.06368887424468994,0.7421748042106628,0.7264906167984009,activation
AMPK_pT172,S6_pS235_S236,2.061153470123145e-09,0.0002661026082932949,0.6931481957435608,0.6931481957435608,inhibition
YB-1_PS102,S6_pS235_S236,2.061153470123145e-09,0.00026610257918946445,0.6931481957435608,0.6931481957435608,inhibition
STAT3_pY705,S6_pS235_S236,2.061153470123145e-09,0.0002661024045664817,0.6931481957435608,0.6931481957435608,inhibition
p27_pT157,S6_pS235_S236,2.061153470123145e-09,0.0002661024045664817,0.6931481957435608,0.6931481957435608,inhibition
GSK3-alpha-beta_pS21_S9,S6_pS235_S236,2.061153470123145e-09,0.0002661023463588208,0.6931481957435608,0.6931481957435608,inhibition
MEK1_pS217_S221,S6_pS235_S236,2.061153470123145e-09,0.00026610231725499034,0.6931481957435608,0.6931481957435608,inhibition
NF-kB-p65_pS536,S6_pS235_S236,2.061153470123145e-09,0.0002661022881511599,0.6931481957435608,0.6931481957435608,inhibition
ER-alpha_pS118,S6_pS235_S236,2.061153470123145e-09,0.0002661022590473294,0.6931481957435608,0.6931481957435608,inhibition
PRAS40_pT246,S6_pS235_S236,2.061153470123145e-09,0.0002661022590473294,0.6931481957435608,0.6931481957435608,inhibition
TAZ_pS89,S6_pS235_S236,2.061153470123145e-09,0.00026610222994349897,0.6931481957435608,0.6931481957435608,inhibition
ACC_pS79,S6_pS235_S236,2.061153470123145e-09,0.0002661022008396685,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1173,S6_pS235_S236,2.061153470123145e-09,0.00026610217173583806,0.6931481957435608,0.6931481957435608,inhibition
BAD_pS112,S6_pS235_S236,2.061153470123145e-09,0.0002661021426320076,0.6931481957435608,0.6931481957435608,inhibition
FOXO3a_pS318_S321,S6_pS235_S236,2.061153470123145e-09,0.0002661021426320076,0.6931481957435608,0.6931481957435608,inhibition
AKT_pS473,S6_pS235_S236,2.061153470123145e-09,0.00026610211352817714,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY992,S6_pS235_S236,2.061153470123145e-09,0.00026610211352817714,0.6931481957435608,0.6931481957435608,inhibition
Src_pY527,S6_pS235_S236,2.061153470123145e-09,0.00026610211352817714,0.6931481957435608,0.6931481957435608,inhibition
p70S6K_pT389,S6_pS235_S236,2.061153470123145e-09,0.00026610211352817714,0.6931481957435608,0.6931481957435608,inhibition
AKT_pT308,S6_pS235_S236,2.061153470123145e-09,0.0002661020844243467,0.6931481957435608,0.6931481957435608,inhibition
CHK2_pT68,S6_pS235_S236,2.061153470123145e-09,0.00026610202621668577,0.6931481957435608,0.6931481957435608,inhibition
PDK1_pS241,S6_pS235_S236,2.061153470123145e-09,0.0002661019971128553,0.6931481957435608,0.6931481957435608,inhibition
p27_pT198,S6_pS235_S236,2.061153470123145e-09,0.0002661019971128553,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1068,S6_pS235_S236,2.061153470123145e-09,0.00026610196800902486,0.6931481957435608,0.6931481957435608,activation
c-JUN_pS73,S6_pS235_S236,2.061153470123145e-09,0.00026610196800902486,0.6931481957435608,0.6931481957435608,inhibition
CHK1_pS345,S6_pS235_S236,2.061153470123145e-09,0.0002661019389051944,0.6931481957435608,0.6931481957435608,inhibition
HER2_pY1248,S6_pS235_S236,2.061153470123145e-09,0.00026610190980136395,0.6931481957435608,0.6931481957435608,inhibition
YAP_pS127,S6_pS235_S236,2.061153470123145e-09,0.00026610190980136395,0.6931481957435608,0.6931481957435608,inhibition
c-Raf_pS338,S6_pS235_S236,2.061153470123145e-09,0.00026610190980136395,0.6931481957435608,0.6931481957435608,inhibition
PKC-alpha_pS657,S6_pS235_S236,2.061153470123145e-09,0.0002661018806975335,0.6931481957435608,0.6931481957435608,inhibition
MAPK_pT202_Y204,S6_pS235_S236,2.061153470123145e-09,0.0002661018224898726,0.6931481957435608,0.6931481957435608,inhibition
p90RSK_pT359_S363,S6_pS235_S236,2.061153470123145e-09,0.0002661018224898726,0.6931481957435608,0.6931481957435608,inhibition
4EBP1_pS65,S6_pS235_S236,2.061153470123145e-09,0.00026610176428221166,0.6931481957435608,0.6931481957435608,inhibition
c-Met_pY1235,S6_pS235_S236,2.061153470123145e-09,0.00026610176428221166,0.6931481957435608,0.6931481957435608,inhibition
Src_pY416,S6_pS235_S236,2.061153470123145e-09,0.0002661017351783812,0.6931481957435608,0.6931481957435608,inhibition
JNK_pT183_pT185,S6_pS235_S236,2.061153470123145e-09,0.00026610170607455075,0.6931481957435608,0.6931481957435608,inhibition
mTOR_pS2448,S6_pS235_S236,2.061153470123145e-09,0.00026610156055539846,0.6931481957435608,0.6931481957435608,activation
p38_pT180_Y182,S6_pS235_S236,2.061153470123145e-09,0.000266101531451568,0.6931481957435608,0.6931481957435608,activation
CHK2_pT68,AKT_pT308,2.061153470123145e-09,0.000259884080151096,0.6931481957435608,0.6931481957435608,inhibition
YB-1_PS102,AKT_pT308,2.061153470123145e-09,0.000259884080151096,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY992,AKT_pT308,2.061153470123145e-09,0.00025988405104726553,0.6931481957435608,0.6931481957435608,inhibition
HER2_pY1248,AKT_pT308,2.061153470123145e-09,0.00025988405104726553,0.6931481957435608,0.6931481957435608,inhibition
STAT3_pY705,AKT_pT308,2.061153470123145e-09,0.00025988405104726553,0.6931481957435608,0.6931481957435608,inhibition
4EBP1_pS65,AKT_pT308,2.061153470123145e-09,0.00025988396373577416,0.6931481957435608,0.6931481957435608,inhibition
p27_pT198,AKT_pT308,2.061153470123145e-09,0.00025988396373577416,0.6931481957435608,0.6931481957435608,inhibition
CHK1_pS345,AKT_pT308,2.061153470123145e-09,0.0002598839346319437,0.6931481957435608,0.6931481957435608,inhibition
S6_pS240_S244,AKT_pT308,2.061153470123145e-09,0.00025988390552811325,0.6931481957435608,0.6931481957435608,inhibition
p90RSK_pT359_S363,AKT_pT308,2.061153470123145e-09,0.00025988390552811325,0.6931481957435608,0.6931481957435608,inhibition
ACC_pS79,AKT_pT308,2.061153470123145e-09,0.0002598838764242828,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1173,AKT_pT308,2.061153470123145e-09,0.0002598838764242828,0.6931481957435608,0.6931481957435608,inhibition
ER-alpha_pS118,AKT_pT308,2.061153470123145e-09,0.0002598838764242828,0.6931481957435608,0.6931481957435608,inhibition
p27_pT157,AKT_pT308,2.061153470123145e-09,0.0002598838764242828,0.6931481957435608,0.6931481957435608,inhibition
BAD_pS112,AKT_pT308,2.061153470123145e-09,0.00025988384732045233,0.6931481957435608,0.6931481957435608,inhibition
GSK3-alpha-beta_pS21_S9,AKT_pT308,2.061153470123145e-09,0.00025988384732045233,0.6931481957435608,0.6931481957435608,inhibition
PKC-alpha_pS657,AKT_pT308,2.061153470123145e-09,0.00025988384732045233,0.6931481957435608,0.6931481957435608,inhibition
PRAS40_pT246,AKT_pT308,2.061153470123145e-09,0.00025988384732045233,0.6931481957435608,0.6931481957435608,inhibition
TAZ_pS89,AKT_pT308,2.061153470123145e-09,0.00025988384732045233,0.6931481957435608,0.6931481957435608,inhibition
MEK1_pS217_S221,AKT_pT308,2.061153470123145e-09,0.0002598838182166219,0.6931481957435608,0.6931481957435608,inhibition
NF-kB-p65_pS536,AKT_pT308,2.061153470123145e-09,0.0002598838182166219,0.6931481957435608,0.6931481957435608,inhibition
Rb_pS807_S811,AKT_pT308,2.061153470123145e-09,0.0002598838182166219,0.6931481957435608,0.6931481957435608,inhibition
c-Raf_pS338,AKT_pT308,2.061153470123145e-09,0.0002598838182166219,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1068,AKT_pT308,2.061153470123145e-09,0.0002598837891127914,0.6931481957435608,0.6931481957435608,activation
p70S6K_pT389,AKT_pT308,2.061153470123145e-09,0.0002598837891127914,0.6931481957435608,0.6931481957435608,inhibition
Src_pY416,AKT_pT308,2.061153470123145e-09,0.00025988376000896096,0.6931481957435608,0.6931481957435608,inhibition
mTOR_pS2448,AKT_pT308,2.061153470123145e-09,0.00025988376000896096,0.6931481957435608,0.6931481957435608,activation
AMPK_pT172,AKT_pT308,2.061153470123145e-09,0.0002598837309051305,0.6931481957435608,0.6931481957435608,inhibition
PDK1_pS241,AKT_pT308,2.061153470123145e-09,0.0002598837309051305,0.6931481957435608,0.6931481957435608,inhibition
FOXO3a_pS318_S321,AKT_pT308,2.061153470123145e-09,0.00025988370180130005,0.6931481957435608,0.6931481957435608,inhibition
GSK3-alpha-beta_pS9,AKT_pT308,2.061153470123145e-09,0.0002598836726974696,0.6931481957435608,0.6931481957435608,inhibition
MAPK_pT202_Y204,AKT_pT308,2.061153470123145e-09,0.0002598836726974696,0.6931481957435608,0.6931481957435608,inhibition
YAP_pS127,AKT_pT308,2.061153470123145e-09,0.00025988364359363914,0.6931481957435608,0.6931481957435608,inhibition
c-Met_pY1235,AKT_pT308,2.061153470123145e-09,0.0002598835853859782,0.6931481957435608,0.6931481957435608,inhibition
p38_pT180_Y182,AKT_pT308,2.061153470123145e-09,0.0002598835853859782,0.6931481957435608,0.6931481957435608,activation
S6_pS235_S236,AKT_pT308,2.061153470123145e-09,0.00025988355628214777,0.6931481957435608,0.6931481957435608,inhibition
Src_pY527,AKT_pT308,2.061153470123145e-09,0.00025988355628214777,0.6931481957435608,0.6931481957435608,inhibition
JNK_pT183_pT185,AKT_pT308,2.061153470123145e-09,0.00025988349807448685,0.6931481957435608,0.6931481957435608,inhibition
PRAS40_pT246,AKT_pS473,2.061153470123145e-09,0.00025525232194922864,0.6931481957435608,0.6931481957435608,inhibition
MAPK_pT202_Y204,AKT_pS473,2.061153470123145e-09,0.0002552522346377373,0.6931481957435608,0.6931481957435608,inhibition
Rb_pS807_S811,AKT_pS473,2.061153470123145e-09,0.0002552522346377373,0.6931481957435608,0.6931481957435608,inhibition
TAZ_pS89,AKT_pS473,2.061153470123145e-09,0.0002552522346377373,0.6931481957435608,0.6931481957435608,inhibition
CHK2_pT68,AKT_pS473,2.061153470123145e-09,0.0002552522055339068,0.6931481957435608,0.6931481957435608,inhibition
HER2_pY1248,AKT_pS473,2.061153470123145e-09,0.0002552522055339068,0.6931481957435608,0.6931481957435608,inhibition
S6_pS240_S244,AKT_pS473,2.061153470123145e-09,0.0002552522055339068,0.6931481957435608,0.6931481957435608,inhibition
STAT3_pY705,AKT_pS473,2.061153470123145e-09,0.0002552522055339068,0.6931481957435608,0.6931481957435608,inhibition
c-Met_pY1235,AKT_pS473,2.061153470123145e-09,0.0002552522055339068,0.6931481957435608,0.6931481957435608,inhibition
p70S6K_pT389,AKT_pS473,2.061153470123145e-09,0.0002552522055339068,0.6931481957435608,0.6931481957435608,inhibition
AMPK_pT172,AKT_pS473,2.061153470123145e-09,0.00025525217643007636,0.6931481957435608,0.6931481957435608,inhibition
BAD_pS112,AKT_pS473,2.061153470123145e-09,0.00025525217643007636,0.6931481957435608,0.6931481957435608,inhibition
c-Raf_pS338,AKT_pS473,2.061153470123145e-09,0.00025525217643007636,0.6931481957435608,0.6931481957435608,inhibition
CHK1_pS345,AKT_pS473,2.061153470123145e-09,0.0002552521473262459,0.6931481957435608,0.6931481957435608,inhibition
ER-alpha_pS118,AKT_pS473,2.061153470123145e-09,0.0002552521473262459,0.6931481957435608,0.6931481957435608,inhibition
YB-1_PS102,AKT_pS473,2.061153470123145e-09,0.0002552521473262459,0.6931481957435608,0.6931481957435608,inhibition
p27_pT157,AKT_pS473,2.061153470123145e-09,0.0002552521473262459,0.6931481957435608,0.6931481957435608,inhibition
4EBP1_pS65,AKT_pS473,2.061153470123145e-09,0.000255252089118585,0.6931481957435608,0.6931481957435608,inhibition
JNK_pT183_pT185,AKT_pS473,2.061153470123145e-09,0.000255252089118585,0.6931481957435608,0.6931481957435608,inhibition
Src_pY416,AKT_pS473,2.061153470123145e-09,0.000255252089118585,0.6931481957435608,0.6931481957435608,inhibition
mTOR_pS2448,AKT_pS473,2.061153470123145e-09,0.000255252089118585,0.6931481957435608,0.6931481957435608,activation
EGFR_pY1068,AKT_pS473,2.061153470123145e-09,0.00025525206001475453,0.6931481957435608,0.6931481957435608,activation
GSK3-alpha-beta_pS9,AKT_pS473,2.061153470123145e-09,0.00025525206001475453,0.6931481957435608,0.6931481957435608,inhibition
p27_pT198,AKT_pS473,2.061153470123145e-09,0.00025525206001475453,0.6931481957435608,0.6931481957435608,inhibition
p90RSK_pT359_S363,AKT_pS473,2.061153470123145e-09,0.00025525206001475453,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1173,AKT_pS473,2.061153470123145e-09,0.0002552520309109241,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY992,AKT_pS473,2.061153470123145e-09,0.0002552520018070936,0.6931481957435608,0.6931481957435608,inhibition
MEK1_pS217_S221,AKT_pS473,2.061153470123145e-09,0.0002552520018070936,0.6931481957435608,0.6931481957435608,inhibition
PKC-alpha_pS657,AKT_pS473,2.061153470123145e-09,0.0002552520018070936,0.6931481957435608,0.6931481957435608,inhibition
ACC_pS79,AKT_pS473,2.061153470123145e-09,0.00025525197270326316,0.6931481957435608,0.6931481957435608,inhibition
PDK1_pS241,AKT_pS473,2.061153470123145e-09,0.00025525197270326316,0.6931481957435608,0.6931481957435608,inhibition
YAP_pS127,AKT_pS473,2.061153470123145e-09,0.00025525197270326316,0.6931481957435608,0.6931481957435608,inhibition
NF-kB-p65_pS536,AKT_pS473,2.061153470123145e-09,0.0002552519435994327,0.6931481957435608,0.6931481957435608,inhibition
S6_pS235_S236,AKT_pS473,2.061153470123145e-09,0.0002552518853917718,0.6931481957435608,0.6931481957435608,inhibition
p38_pT180_Y182,AKT_pS473,2.061153470123145e-09,0.0002552518853917718,0.6931481957435608,0.6931481957435608,activation
GSK3-alpha-beta_pS21_S9,AKT_pS473,2.061153470123145e-09,0.00025525185628794134,0.6931481957435608,0.6931481957435608,inhibition
Src_pY527,AKT_pS473,2.061153470123145e-09,0.00025525185628794134,0.6931481957435608,0.6931481957435608,inhibition
FOXO3a_pS318_S321,AKT_pS473,2.061153470123145e-09,0.0002552518271841109,0.6931481957435608,0.6931481957435608,inhibition
PRAS40_pT246,Src_pY416,2.061153470123145e-09,0.00025493395514786243,0.6931481957435608,0.6931481957435608,inhibition
S6_pS235_S236,Src_pY416,2.061153470123145e-09,0.00025493395514786243,0.6931481957435608,0.6931481957435608,inhibition
c-JUN_pS73,Src_pY416,2.061153470123145e-09,0.00025493395514786243,0.6931481957435608,0.6931481957435608,inhibition
4EBP1_pS65,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
AKT_pS473,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
BAD_pS112,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1173,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
GSK3-alpha-beta_pS9,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
HER2_pY1248,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
JNK_pT183_pT185,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
MAPK_pT202_Y204,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
Rb_pS807_S811,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
p27_pT157,Src_pY416,2.061153470123145e-09,0.000254933926044032,0.6931481957435608,0.6931481957435608,inhibition
ACC_pS79,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
AKT_pT308,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
AMPK_pT172,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
CHK1_pS345,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY992,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
GSK3-alpha-beta_pS21_S9,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
S6_pS240_S244,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
Src_pY527,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
YAP_pS127,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
p90RSK_pT359_S363,Src_pY416,2.061153470123145e-09,0.0002549338969402015,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1068,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,activation
FOXO3a_pS318_S321,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
MEK1_pS217_S221,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
NF-kB-p65_pS536,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
PDK1_pS241,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
PKC-alpha_pS657,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
TAZ_pS89,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
c-Raf_pS338,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
mTOR_pS2448,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,activation
p27_pT198,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
p38_pT180_Y182,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,activation
p70S6K_pT389,Src_pY416,2.061153470123145e-09,0.00025493386783637106,0.6931481957435608,0.6931481957435608,inhibition
CHK2_pT68,Src_pY416,2.061153470123145e-09,0.0002549338387325406,0.6931481957435608,0.6931481957435608,inhibition
STAT3_pY705,p70S6K_pT389,2.061153470123145e-09,0.0002463728014845401,0.6931481957435608,0.6931481957435608,inhibition
BAD_pS112,p70S6K_pT389,2.061153470123145e-09,0.0002463726850692183,0.6931481957435608,0.6931481957435608,inhibition
HER2_pY1248,p70S6K_pT389,2.061153470123145e-09,0.0002463726850692183,0.6931481957435608,0.6931481957435608,inhibition
mTOR_pS2448,p70S6K_pT389,2.061153470123145e-09,0.00024637262686155736,0.6931481957435608,0.6931481957435608,activation
PRAS40_pT246,p70S6K_pT389,2.061153470123145e-09,0.0002463725977577269,0.6931481957435608,0.6931481957435608,inhibition
CHK2_pT68,p70S6K_pT389,2.061153470123145e-09,0.00024637256865389645,0.6931481957435608,0.6931481957435608,inhibition
EGFR_pY1068,p70S6K_pT389,2.061153470123145e-09,0.000246372539550066,0.6931481957435608,0.6931481957435608,activation
