condition_idx,condition_name,time_idx,time_min,protein_idx,protein_name,teacher_pred,student_pred,abs_error,rel_error,squared_error,needs_update,priority_score,time_phase
0,None|None,0,0.0,24,p27_pT157,0.611761,0.565188,0.046572,0.076128,0.00216899,0,0.076128,early
0,None|None,0,0.0,25,p27_pT198,0.446631,0.42114,0.025491,0.057074,0.0006498,0,0.057074,early
0,None|None,0,0.0,26,p38_pT180_Y182,0.181415,0.198693,0.017278,0.09524,0.00029853,0,0.09524,early
0,None|None,0,0.0,27,p70S6K_pT389,2.324321,3.819546,1.495225,0.643295,2.23569837,1,0.643295,early
0,None|None,0,0.0,28,p90RSK_pT359_S363,0.628341,0.620852,0.007489,0.011919,5.609e-05,0,0.011919,early
0,None|None,0,0.0,29,PDK1_pS241,1.090998,1.044936,0.046062,0.04222,0.00212167,0,0.04222,early
0,None|None,0,0.0,30,PKC-alpha_pS657,0.202103,0.217889,0.015786,0.078109,0.0002492,0,0.078109,early
0,None|None,0,0.0,31,PRAS40_pT246,1.261897,1.509827,0.24793,0.196474,0.06146925,1,0.196474,early
0,None|None,0,0.0,32,Rb_pS807_S811,2.154792,2.350988,0.196196,0.091051,0.03849271,1,0.091051,early
0,None|None,0,0.0,33,S6_pS235_S236,2.927296,4.239903,1.312607,0.448403,1.72293789,1,0.448403,early
0,None|None,0,0.0,34,S6_pS240_S244,1.168553,1.372436,0.203883,0.174474,0.04156815,1,0.174474,early
0,None|None,0,0.0,35,Src_pY416,0.085251,0.083445,0.001806,0.021181,3.26e-06,0,0.021181,early
0,None|None,0,0.0,36,Src_pY527,1.18168,1.212095,0.030415,0.025739,0.00092509,0,0.025739,early
0,None|None,0,0.0,37,STAT3_pY705,0.187796,0.182477,0.005319,0.028324,2.829e-05,0,0.028324,early
0,None|None,0,0.0,38,TAZ_pS89,0.649336,0.599363,0.049973,0.07696,0.00249727,0,0.07696,early
0,None|None,0,0.0,39,YAP_pS127,0.420738,0.417379,0.003359,0.007983,1.128e-05,0,0.007983,early
0,None|None,0,0.0,40,YB-1_PS102,0.60547,0.626957,0.021488,0.035489,0.00046172,0,0.035489,early
0,None|None,1,0.3125,0,4EBP1_pS65,0.755991,0.769343,0.013352,0.017662,0.00017828,0,0.017662,early
0,None|None,1,0.3125,1,ACC_pS79,0.172775,0.198009,0.025233,0.146047,0.00063672,0,0.146047,early
0,None|None,1,0.3125,2,AKT_pS473,0.088283,0.979675,0.891391,10.096926,0.79457849,1,10.096926,early
0,None|None,1,0.3125,3,AKT_pT308,0.287036,1.122885,0.835849,2.911999,0.69864278,1,2.911999,early
0,None|None,1,0.3125,4,AMPK_pT172,1.637302,1.604372,0.03293,0.020112,0.00108437,0,0.020112,early
0,None|None,1,0.3125,5,BAD_pS112,0.608677,0.654125,0.045448,0.074667,0.00206555,0,0.074667,early
0,None|None,1,0.3125,6,c-JUN_pS73,0.372971,0.379553,0.006583,0.01765,4.333e-05,0,0.01765,early
0,None|None,1,0.3125,7,c-Met_pY1235,0.463573,0.433703,0.02987,0.064433,0.00089219,0,0.064433,early
0,None|None,1,0.3125,8,c-Raf_pS338,0.416252,0.511823,0.095571,0.229599,0.00913382,1,0.229599,early
0,None|None,1,0.3125,9,CHK1_pS345,0.249312,0.233028,0.016284,0.065316,0.00026517,0,0.065316,early
0,None|None,1,0.3125,10,CHK2_pT68,0.205031,0.193736,0.011295,0.055087,0.00012757,0,0.055087,early
0,None|None,1,0.3125,11,EGFR_pY1068,0.084446,0.096364,0.011918,0.141132,0.00014204,0,0.141132,early
0,None|None,1,0.3125,12,EGFR_pY1173,0.42558,0.401368,0.024212,0.056892,0.00058622,0,0.056892,early
0,None|None,1,0.3125,13,EGFR_pY992,0.11544,0.115989,0.000549,0.004757,3e-07,0,0.004757,early
0,None|None,1,0.3125,14,ER-alpha_pS118,0.854223,0.754943,0.09928,0.116223,0.00985659,1,0.116223,early
0,None|None,1,0.3125,15,FOXO3a_pS318_S321,0.472653,0.459095,0.013558,0.028686,0.00018383,0,0.028686,early
0,None|None,1,0.3125,16,GSK3-alpha-beta_pS21_S9,1.225139,1.474999,0.249859,0.203944,0.06242963,1,0.203944,early
0,None|None,1,0.3125,17,GSK3-alpha-beta_pS9,1.38659,1.648766,0.262176,0.18908,0.06873615,1,0.18908,early
0,None|None,1,0.3125,18,HER2_pY1248,1.408334,1.445589,0.037255,0.026453,0.00138792,0,0.026453,early
0,None|None,1,0.3125,19,JNK_pT183_pT185,0.194796,0.221574,0.026778,0.137467,0.00071707,0,0.137467,early
0,None|None,1,0.3125,20,MAPK_pT202_Y204,0.264495,0.303851,0.039356,0.148797,0.0015489,0,0.148797,early
0,None|None,1,0.3125,21,MEK1_pS217_S221,0.219924,0.222358,0.002434,0.011069,5.93e-06,0,0.011069,early
0,None|None,1,0.3125,22,mTOR_pS2448,0.516409,0.575723,0.059314,0.114859,0.00351815,1,0.114859,early
0,None|None,1,0.3125,23,NF-kB-p65_pS536,0.503012,0.484165,0.018847,0.037468,0.00035521,0,0.037468,early
0,None|None,1,0.3125,24,p27_pT157,0.613842,0.565141,0.048701,0.079338,0.00237177,0,0.079338,early
0,None|None,1,0.3125,25,p27_pT198,0.447875,0.42124,0.026634,0.059468,0.00070939,0,0.059468,early
0,None|None,1,0.3125,26,p38_pT180_Y182,0.18365,0.198913,0.015263,0.08311,0.00023297,0,0.08311,early
0,None|None,1,0.3125,27,p70S6K_pT389,2.386823,3.843182,1.456359,0.610166,2.12098127,1,0.610166,early
0,None|None,1,0.3125,28,p90RSK_pT359_S363,0.635093,0.622242,0.012851,0.020235,0.00016514,0,0.020235,early
0,None|None,1,0.3125,29,PDK1_pS241,1.09419,1.04587,0.04832,0.044161,0.00233485,0,0.044161,early
0,None|None,1,0.3125,30,PKC-alpha_pS657,0.202357,0.218175,0.015819,0.078172,0.00025023,0,0.078172,early
0,None|None,1,0.3125,31,PRAS40_pT246,1.293375,1.509535,0.21616,0.167129,0.04672533,1,0.167129,early
0,None|None,1,0.3125,32,Rb_pS807_S811,2.171266,2.357513,0.186247,0.085778,0.03468799,1,0.085778,early
0,None|None,1,0.3125,33,S6_pS235_S236,2.955568,4.257857,1.302289,0.440622,1.69595604,1,0.440622,early
0,None|None,1,0.3125,34,S6_pS240_S244,1.168773,1.378941,0.210168,0.179819,0.04417049,1,0.179819,early
0,None|None,1,0.3125,35,Src_pY416,0.084649,0.084046,0.000603,0.007119,3.6e-07,0,0.007119,early
0,None|None,1,0.3125,36,Src_pY527,1.18766,1.212481,0.024821,0.020899,0.00061609,0,0.020899,early
0,None|None,1,0.3125,37,STAT3_pY705,0.189546,0.182499,0.007047,0.037176,4.965e-05,0,0.037176,early
0,None|None,1,0.3125,38,TAZ_pS89,0.654345,0.601416,0.052929,0.080888,0.00280143,1,0.080888,early
0,None|None,1,0.3125,39,YAP_pS127,0.421145,0.417332,0.003812,0.009052,1.453e-05,0,0.009052,early
0,None|None,1,0.3125,40,YB-1_PS102,0.613178,0.627596,0.014418,0.023514,0.00020789,0,0.023514,early
0,None|None,2,0.625,0,4EBP1_pS65,0.758429,0.770412,0.011983,0.0158,0.00014359,0,0.0158,early
0,None|None,2,0.625,1,ACC_pS79,0.172001,0.199174,0.027174,0.157987,0.00073842,0,0.157987,early
0,None|None,2,0.625,2,AKT_pS473,0.103592,0.976168,0.872575,8.423163,0.76138749,1,8.423163,early
0,None|None,2,0.625,3,AKT_pT308,0.29297,1.120305,0.827335,2.823959,0.68448379,1,2.823959,early
0,None|None,2,0.625,4,AMPK_pT172,1.626944,1.605588,0.021356,0.013126,0.00045607,0,0.013126,early
0,None|None,2,0.625,5,BAD_pS112,0.614065,0.654261,0.040196,0.065458,0.00161568,0,0.065458,early
0,None|None,2,0.625,6,c-JUN_pS73,0.376194,0.379653,0.003459,0.009194,1.196e-05,0,0.009194,early
0,None|None,2,0.625,7,c-Met_pY1235,0.465709,0.433643,0.032066,0.068854,0.00102821,0,0.068854,early
0,None|None,2,0.625,8,c-Raf_pS338,0.416816,0.512585,0.095769,0.229765,0.00917179,1,0.229765,early
0,None|None,2,0.625,9,CHK1_pS345,0.249067,0.233154,0.015913,0.06389,0.00025322,0,0.06389,early
0,None|None,2,0.625,10,CHK2_pT68,0.205434,0.193741,0.011693,0.056921,0.00013674,0,0.056921,early
0,None|None,2,0.625,11,EGFR_pY1068,0.086936,0.096587,0.009651,0.111013,9.314e-05,0,0.111013,early
0,None|None,2,0.625,12,EGFR_pY1173,0.42635,0.400581,0.025769,0.060441,0.00066405,0,0.060441,early
0,None|None,2,0.625,13,EGFR_pY992,0.115789,0.116157,0.000368,0.003181,1.4e-07,0,0.003181,early
0,None|None,2,0.625,14,ER-alpha_pS118,0.860278,0.754523,0.105754,0.12293,0.01118395,1,0.12293,early
0,None|None,2,0.625,15,FOXO3a_pS318_S321,0.473756,0.45933,0.014426,0.03045,0.00020811,0,0.03045,early
0,None|None,2,0.625,16,GSK3-alpha-beta_pS21_S9,1.240114,1.478215,0.238101,0.192,0.05669232,1,0.192,early
0,None|None,2,0.625,17,GSK3-alpha-beta_pS9,1.412233,1.650376,0.238144,0.168629,0.05671236,1,0.168629,early
0,None|None,2,0.625,18,HER2_pY1248,1.418751,1.446109,0.027358,0.019283,0.00074844,0,0.019283,early
0,None|None,2,0.625,19,JNK_pT183_pT185,0.196148,0.221596,0.025448,0.12974,0.00064761,0,0.12974,early
0,None|None,2,0.625,20,MAPK_pT202_Y204,0.281291,0.305161,0.02387,0.084858,0.00056977,0,0.084858,early
0,None|None,2,0.625,21,MEK1_pS217_S221,0.231161,0.225566,0.005595,0.024203,3.13e-05,0,0.024203,early
0,None|None,2,0.625,22,mTOR_pS2448,0.516714,0.576727,0.060013,0.116144,0.0036016,1,0.116144,early
0,None|None,2,0.625,23,NF-kB-p65_pS536,0.505782,0.486596,0.019186,0.037934,0.00036811,0,0.037934,early
0,None|None,2,0.625,24,p27_pT157,0.615578,0.565028,0.05055,0.082117,0.00255527,1,0.082117,early
0,None|None,2,0.625,25,p27_pT198,0.448916,0.421287,0.027628,0.061545,0.00076332,0,0.061545,early
0,None|None,2,0.625,26,p38_pT180_Y182,0.185799,0.199093,0.013294,0.071551,0.00017673,0,0.071551,early
0,None|None,2,0.625,27,p70S6K_pT389,2.451601,3.86315,1.411549,0.575766,1.99247151,1,0.575766,early
0,None|None,2,0.625,28,p90RSK_pT359_S363,0.641574,0.623527,0.018046,0.028128,0.00032567,0,0.028128,early
0,None|None,2,0.625,29,PDK1_pS241,1.097429,1.046666,0.050762,0.046256,0.00257682,1,0.046256,early
0,None|None,2,0.625,30,PKC-alpha_pS657,0.20271,0.218451,0.01574,0.07765,0.00024776,0,0.07765,early
0,None|None,2,0.625,31,PRAS40_pT246,1.325818,1.50899,0.183172,0.138158,0.03355198,1,0.138158,early
0,None|None,2,0.625,32,Rb_pS807_S811,2.187865,2.363697,0.175832,0.080367,0.0309169,1,0.080367,early
0,None|None,2,0.625,33,S6_pS235_S236,2.989842,4.274463,1.28462,0.429662,1.65024928,1,0.429662,early
0,None|None,2,0.625,34,S6_pS240_S244,1.16992,1.384948,0.215028,0.183797,0.04623696,1,0.183797,early
0,None|None,2,0.625,35,Src_pY416,0.084155,0.084617,0.000462,0.005496,2.1e-07,0,0.005496,early
0,None|None,2,0.625,36,Src_pY527,1.194265,1.212944,0.018678,0.01564,0.00034887,0,0.01564,early
0,None|None,2,0.625,37,STAT3_pY705,0.191147,0.182523,0.008624,0.045117,7.437e-05,0,0.045117,early
0,None|None,2,0.625,38,TAZ_pS89,0.658635,0.603322,0.055313,0.083981,0.00305949,1,0.083981,early
0,None|None,2,0.625,39,YAP_pS127,0.421219,0.417402,0.003818,0.009063,1.457e-05,0,0.009063,early
0,None|None,2,0.625,40,YB-1_PS102,0.620653,0.628118,0.007464,0.012026,5.571e-05,0,0.012026,early
0,None|None,3,0.9375,0,4EBP1_pS65,0.760572,0.771321,0.010749,0.014133,0.00011555,0,0.014133,early
0,None|None,3,0.9375,1,ACC_pS79,0.171513,0.200301,0.028788,0.16785,0.00082878,0,0.16785,early
0,None|None,3,0.9375,2,AKT_pS473,0.123293,0.971568,0.848275,6.880152,0.71957081,1,6.880152,early
0,None|None,3,0.9375,3,AKT_pT308,0.302147,1.116415,0.814268,2.694937,0.66303188,1,2.694937,early
0,None|None,3,0.9375,4,AMPK_pT172,1.619321,1.606771,0.012549,0.00775,0.00015749,0,0.00775,early
0,None|None,3,0.9375,5,BAD_pS112,0.619542,0.654313,0.03477,0.056123,0.00120899,0,0.056123,early
0,None|None,3,0.9375,6,c-JUN_pS73,0.379155,0.379623,0.000467,0.001232,2.2e-07,0,0.001232,early
0,None|None,3,0.9375,7,c-Met_pY1235,0.467872,0.433577,0.034295,0.073299,0.00117612,0,0.073299,early
0,None|None,3,0.9375,8,c-Raf_pS338,0.417979,0.513269,0.09529,0.227977,0.00908011,1,0.227977,early
0,None|None,3,0.9375,9,CHK1_pS345,0.248697,0.233266,0.015431,0.062047,0.00023812,0,0.062047,early
0,None|None,3,0.9375,10,CHK2_pT68,0.205884,0.193745,0.012139,0.058959,0.00014735,0,0.058959,early
0,None|None,3,0.9375,11,EGFR_pY1068,0.089478,0.096812,0.007334,0.08196,5.378e-05,0,0.08196,early
0,None|None,3,0.9375,12,EGFR_pY1173,0.427132,0.399827,0.027305,0.063927,0.00074557,0,0.063927,early
0,None|None,3,0.9375,13,EGFR_pY992,0.116126,0.116315,0.000189,0.001626,4e-08,0,0.001626,early
0,None|None,3,0.9375,14,ER-alpha_pS118,0.86585,0.754137,0.111713,0.129022,0.01247986,1,0.129022,early
0,None|None,3,0.9375,15,FOXO3a_pS318_S321,0.47501,0.459467,0.015543,0.032721,0.00024158,0,0.032721,early
0,None|None,3,0.9375,16,GSK3-alpha-beta_pS21_S9,1.256298,1.481043,0.224745,0.178894,0.05051012,1,0.178894,early
0,None|None,3,0.9375,17,GSK3-alpha-beta_pS9,1.438591,1.651627,0.213036,0.148087,0.04538431,1,0.148087,early
0,None|None,3,0.9375,18,HER2_pY1248,1.429136,1.446379,0.017243,0.012065,0.00029733,0,0.012065,early
0,None|None,3,0.9375,19,JNK_pT183_pT185,0.197472,0.221534,0.024061,0.121847,0.00057895,0,0.121847,early
0,None|None,3,0.9375,20,MAPK_pT202_Y204,0.297805,0.306459,0.008654,0.029059,7.489e-05,0,0.029059,early
0,None|None,3,0.9375,21,MEK1_pS217_S221,0.242785,0.228523,0.014263,0.058746,0.00020342,0,0.058746,early
0,None|None,3,0.9375,22,mTOR_pS2448,0.51736,0.57773,0.06037,0.116688,0.0036445,1,0.116688,early
0,None|None,3,0.9375,23,NF-kB-p65_pS536,0.507818,0.488746,0.019072,0.037557,0.00036375,0,0.037557,early
0,None|None,3,0.9375,24,p27_pT157,0.617013,0.564855,0.052158,0.084534,0.00272049,1,0.084534,early
0,None|None,3,0.9375,25,p27_pT198,0.449761,0.421287,0.028473,0.063308,0.00081074,0,0.063308,early
0,None|None,3,0.9375,26,p38_pT180_Y182,0.187832,0.199234,0.011402,0.060701,0.00013,0,0.060701,early
0,None|None,3,0.9375,27,p70S6K_pT389,2.519074,3.879544,1.36047,0.540068,1.85087942,1,0.540068,early
0,None|None,3,0.9375,28,p90RSK_pT359_S363,0.647892,0.624714,0.023178,0.035775,0.00053722,0,0.035775,early
0,None|None,3,0.9375,29,PDK1_pS241,1.100748,1.047339,0.053409,0.048521,0.00285254,1,0.048521,early
0,None|None,3,0.9375,30,PKC-alpha_pS657,0.20316,0.218718,0.015559,0.076584,0.00024208,0,0.076584,early
0,None|None,3,0.9375,31,PRAS40_pT246,1.358912,1.508223,0.149311,0.109876,0.02229387,1,0.109876,early
0,None|None,3,0.9375,32,Rb_pS807_S811,2.204869,2.369582,0.164713,0.074704,0.02713034,1,0.074704,early
0,None|None,3,0.9375,33,S6_pS235_S236,3.032682,4.289859,1.257176,0.414543,1.5804925,1,0.414543,early
0,None|None,3,0.9375,34,S6_pS240_S244,1.17309,1.390481,0.217391,0.185315,0.04725875,1,0.185315,early
0,None|None,3,0.9375,35,Src_pY416,0.083761,0.08516,0.0014,0.01671,1.96e-06,0,0.01671,early
0,None|None,3,0.9375,36,Src_pY527,1.201288,1.213503,0.012215,0.010168,0.0001492,0,0.010168,early
0,None|None,3,0.9375,37,STAT3_pY705,0.192562,0.182551,0.01001,0.051986,0.00010021,0,0.051986,early
0,None|None,3,0.9375,38,TAZ_pS89,0.662238,0.605082,0.057156,0.086307,0.00326679,1,0.086307,early
0,None|None,3,0.9375,39,YAP_pS127,0.420845,0.417592,0.003253,0.007729,1.058e-05,0,0.007729,early
0,None|None,3,0.9375,40,YB-1_PS102,0.627704,0.628529,0.000825,0.001315,6.8e-07,0,0.001315,early
0,None|None,4,1.25,0,4EBP1_pS65,0.762547,0.772084,0.009538,0.012508,9.097e-05,0,0.012508,early
0,None|None,4,1.25,1,ACC_pS79,0.171334,0.201392,0.030058,0.175435,0.00090348,0,0.175435,early
0,None|None,4,1.25,2,AKT_pS473,0.147035,0.965902,0.818867,5.569182,0.67054262,1,5.569182,early
0,None|None,4,1.25,3,AKT_pT308,0.314718,1.111238,0.79652,2.530898,0.63444367,1,2.530898,early
0,None|None,4,1.25,4,AMPK_pT172,1.614215,1.607944,0.006271,0.003885,3.933e-05,0,0.003885,early
0,None|None,4,1.25,5,BAD_pS112,0.62511,0.654292,0.029183,0.046684,0.00085162,0,0.046684,early
0,None|None,4,1.25,6,c-JUN_pS73,0.381817,0.379467,0.00235,0.006154,5.52e-06,0,0.006154,early
0,None|None,4,1.25,7,c-Met_pY1235,0.469993,0.433512,0.036481,0.077621,0.00133087,0,0.077621,early
0,None|None,4,1.25,8,c-Raf_pS338,0.419638,0.513882,0.094244,0.224585,0.00888198,1,0.224585,early
0,None|None,4,1.25,9,CHK1_pS345,0.248251,0.233366,0.014886,0.059962,0.00022159,0,0.059962,early
0,None|None,4,1.25,10,CHK2_pT68,0.206382,0.193751,0.012631,0.061201,0.00015954,0,0.061201,early
0,None|None,4,1.25,11,EGFR_pY1068,0.091994,0.097041,0.005047,0.054858,2.547e-05,0,0.054858,early
0,None|None,4,1.25,12,EGFR_pY1173,0.427895,0.39911,0.028784,0.06727,0.00082855,0,0.06727,early
0,None|None,4,1.25,13,EGFR_pY992,0.116446,0.116464,1.8e-05,0.000155,0.0,0,0.000155,early
0,None|None,4,1.25,14,ER-alpha_pS118,0.871149,0.753791,0.117358,0.134717,0.01377298,1,0.134717,early
0,None|None,4,1.25,15,FOXO3a_pS318_S321,0.476395,0.45951,0.016885,0.035443,0.00028509,0,0.035443,early
0,None|None,4,1.25,16,GSK3-alpha-beta_pS21_S9,1.273569,1.48351,0.20994,0.164844,0.04407499,1,0.164844,early
0,None|None,4,1.25,17,GSK3-alpha-beta_pS9,1.465629,1.652548,0.186919,0.127535,0.03493879,1,0.127535,early
0,None|None,4,1.25,18,HER2_pY1248,1.439488,1.446416,0.006928,0.004813,4.8e-05,0,0.004813,early
0,None|None,4,1.25,19,JNK_pT183_pT185,0.198776,0.22139,0.022614,0.113767,0.0005114,0,0.113767,early
0,None|None,4,1.25,20,MAPK_pT202_Y204,0.313817,0.307748,0.006069,0.019339,3.683e-05,0,0.019339,early
0,None|None,4,1.25,21,MEK1_pS217_S221,0.254525,0.231233,0.023293,0.091514,0.00054254,0,0.091514,early
0,None|None,4,1.25,22,mTOR_pS2448,0.518479,0.578743,0.060264,0.116231,0.00363169,1,0.116231,early
0,None|None,4,1.25,23,NF-kB-p65_pS536,0.509118,0.490622,0.018497,0.036331,0.00034213,0,0.036331,early
0,None|None,4,1.25,24,p27_pT157,0.618168,0.564628,0.05354,0.086611,0.00286655,1,0.086611,early
0,None|None,4,1.25,25,p27_pT198,0.450395,0.421244,0.029151,0.064723,0.00084977,0,0.064723,early
0,None|None,4,1.25,26,p38_pT180_Y182,0.189729,0.199337,0.009609,0.050643,9.232e-05,0,0.050643,early
0,None|None,4,1.25,27,p70S6K_pT389,2.589185,3.892482,1.303297,0.503362,1.69858318,1,0.503362,early
0,None|None,4,1.25,28,p90RSK_pT359_S363,0.654162,0.62581,0.028351,0.04334,0.0008038,0,0.04334,early
0,None|None,4,1.25,29,PDK1_pS241,1.10405,1.047903,0.056147,0.050856,0.00315252,1,0.050856,early
0,None|None,4,1.25,30,PKC-alpha_pS657,0.203665,0.218981,0.015316,0.075203,0.00023459,0,0.075203,early
0,None|None,4,1.25,31,PRAS40_pT246,1.392184,1.507263,0.115079,0.082661,0.01324316,1,0.082661,early
0,None|None,4,1.25,32,Rb_pS807_S811,2.222289,2.375211,0.152922,0.068813,0.02338519,1,0.068813,early
0,None|None,4,1.25,33,S6_pS235_S236,3.084641,4.304181,1.21954,0.395359,1.4872781,1,0.395359,early
0,None|None,4,1.25,34,S6_pS240_S244,1.178882,1.395567,0.216686,0.183806,0.04695278,1,0.183806,early
0,None|None,4,1.25,35,Src_pY416,0.083446,0.085676,0.00223,0.026727,4.97e-06,0,0.026727,early
0,None|None,4,1.25,36,Src_pY527,1.208358,1.214179,0.005821,0.004817,3.388e-05,0,0.004817,early
0,None|None,4,1.25,37,STAT3_pY705,0.193757,0.182586,0.011171,0.057654,0.00012479,0,0.057654,early
0,None|None,4,1.25,38,TAZ_pS89,0.665161,0.606699,0.058462,0.087892,0.00341784,1,0.087892,early
0,None|None,4,1.25,39,YAP_pS127,0.419965,0.41791,0.002056,0.004895,4.23e-06,0,0.004895,early
0,None|None,4,1.25,40,YB-1_PS102,0.634147,0.62884,0.005307,0.008368,2.816e-05,0,0.008368,early
0,None|None,5,1.5625,0,4EBP1_pS65,0.764507,0.772713,0.008206,0.010734,6.734e-05,0,0.010734,early
0,None|None,5,1.5625,1,ACC_pS79,0.171474,0.202451,0.030977,0.180651,0.00095957,0,0.180651,early
0,None|None,5,1.5625,2,AKT_pS473,0.173837,0.959206,0.785369,4.517836,0.6168042,1,4.517836,early
0,None|None,5,1.5625,3,AKT_pT308,0.33025,1.104811,0.774562,2.34538,0.5999456,1,2.34538,early
0,None|None,5,1.5625,4,AMPK_pT172,1.611262,1.609131,0.002131,0.001323,4.54e-06,0,0.001323,early
0,None|None,5,1.5625,5,BAD_pS112,0.630797,0.654209,0.023412,0.037114,0.00054811,0,0.037114,early
0,None|None,5,1.5625,6,c-JUN_pS73,0.384151,0.379194,0.004957,0.012904,2.457e-05,0,0.012904,early
0,None|None,5,1.5625,7,c-Met_pY1235,0.471997,0.433451,0.038546,0.081665,0.00148576,0,0.081665,early
0,None|None,5,1.5625,8,c-Raf_pS338,0.421606,0.514432,0.092827,0.220174,0.00861679,1,0.220174,early
0,None|None,5,1.5625,9,CHK1_pS345,0.247781,0.233455,0.014326,0.057817,0.00020523,0,0.057817,early
0,None|None,5,1.5625,10,CHK2_pT68,0.206916,0.193762,0.013154,0.063571,0.00017303,0,0.063571,early
0,None|None,5,1.5625,11,EGFR_pY1068,0.094398,0.097275,0.002877,0.030478,8.28e-06,0,0.030478,early
0,None|None,5,1.5625,12,EGFR_pY1173,0.428615,0.398435,0.03018,0.070413,0.00091085,0,0.070413,early
0,None|None,5,1.5625,13,EGFR_pY992,0.116744,0.116606,0.000138,0.001178,2e-08,0,0.001178,early
0,None|None,5,1.5625,14,ER-alpha_pS118,0.876304,0.753492,0.122812,0.140148,0.01508281,1,0.140148,early
0,None|None,5,1.5625,15,FOXO3a_pS318_S321,0.477879,0.459465,0.018414,0.038533,0.00033908,0,0.038533,early
0,None|None,5,1.5625,16,GSK3-alpha-beta_pS21_S9,1.291583,1.485646,0.194063,0.150252,0.03766029,1,0.150252,early
0,None|None,5,1.5625,17,GSK3-alpha-beta_pS9,1.493084,1.653173,0.16009,0.107221,0.02562876,1,0.107221,early
0,None|None,5,1.5625,18,HER2_pY1248,1.449683,1.446237,0.003446,0.002377,1.187e-05,0,0.002377,early
0,None|None,5,1.5625,19,JNK_pT183_pT185,0.200045,0.221169,0.021124,0.105595,0.00044621,0,0.105595,early
0,None|None,5,1.5625,20,MAPK_pT202_Y204,0.329176,0.309032,0.020144,0.061194,0.00040576,0,0.061194,early
0,None|None,5,1.5625,21,MEK1_pS217_S221,0.26611,0.233701,0.032409,0.121788,0.00105035,0,0.121788,early
0,None|None,5,1.5625,22,mTOR_pS2448,0.520003,0.579772,0.059769,0.11494,0.00357233,1,0.11494,early
0,None|None,5,1.5625,23,NF-kB-p65_pS536,0.509762,0.492231,0.017531,0.034391,0.00030734,0,0.034391,early
0,None|None,5,1.5625,24,p27_pT157,0.619056,0.564352,0.054704,0.088366,0.00299249,1,0.088366,early
0,None|None,5,1.5625,25,p27_pT198,0.450793,0.421162,0.029631,0.065731,0.000878,0,0.065731,early
